domain,k,loglik,AIC,BIC,G2,X2,entropy,npar,lrt_pval
Thinking/Feeling,2,-506167.363971428,1012384.72794286,1012635.04802737,414799.28025823,8947424.97395928,0.00130373452889941,25,
Thinking/Feeling,3,-448064.631647553,896205.263295105,896585.749823571,298593.815610492,1279715.32624399,0.012541899220176,38,0
Thinking/Feeling,4,-419904.069382475,839910.13876495,840420.791737364,242272.691080335,944724.577938147,0.0455859856169288,51,0
Thinking/Feeling,5,-403187.541886125,806503.083772251,807143.903188613,208839.636087629,859427.701868035,0.0262294780838469,64,0
Thinking/Feeling,6,-380562.266925389,761278.533850777,762049.519711089,163589.086166148,612298.717616616,0.022689147787316,77,0
Social Processes,2,-921290.544061505,1842635.08812301,1842905.43381429,839628.724449146,9210693.3380962,0.0314835714712931,27,
Social Processes,3,-836253.522119149,1672589.0442383,1672999.56917691,669554.680564428,8413314.71459828,0.0266254810454604,41,0
Social Processes,4,-789647.658086257,1579405.31617251,1579956.02035845,576342.95249865,8911296.4810128,0.0241175004238582,55,0
Social Processes,5,-752532.523518116,1505203.04703623,1505893.9304695,502112.683362363,3399757.51595931,0.0204058296501398,69,0
Social Processes,6,-729666.422941975,1459498.84588395,1460329.90856454,456380.482210084,3098381.12853349,0.0169072280594748,83,0
Motivation,2,-104614.419454692,209246.838909383,209336.954139809,33969.0944581433,26627.5948614839,4.99206981873091e-12,9,
Motivation,3,-94401.1050561105,188830.210112221,188970.38935955,13542.4656609794,10735.9999999906,6.45645288142295e-13,14,0
Practical Issues,2,-1105831.01727185,2211740.03454371,2212130.53387555,993242.729660682,76988576.6576397,0.0263242538347464,39,
Practical Issues,3,-1033002.23668957,2066122.47337914,2066713.2287786,847585.168496111,12888161.8670905,0.0439574499475391,59,0
Practical Issues,4,-995070.3289771,1990298.6579542,1991089.66942127,771721.353071171,11492490.321284,0.0321703199437116,79,0
Practical Issues,5,-962451.629785195,1925101.25957039,1926092.52710508,706483.954687364,8354706.23456594,0.0342623073086562,99,0
Practical Issues,6,-912767.189282723,1825772.37856545,1826963.90216775,607115.073682417,10690465.8947508,0.0188880653219493,119,0
